Manifeste (thème);Manifeste (action);Répertoire;Objectif général;Objectif intermédiaire;Actions du répertoire des solutions;Cotation coût/climat;Devenir Orléans Métropole;Si Orléans Métropole ne retient pas, motif :;Etat de maturité de la solution;Financement;Ce que nous pourrons faire dès 2022;Soutenu par un document de planification existant ?;Solution Totem;cotation_cout;valeur_cout;cotation_climat;valeur_climat;Nom du thème
2.0;1;290;Rénovation;Organiser un dispositif d'accompagnement à la rénovation énergétique du bâti;Accompagner les habitants dans la lutte contre le démarchage abusif;coût+/ impact++;Orléans Métropole soutient;;a fait l'objet d'une étude de préfiguration;fait l'objet d'une inscription au PPI;Intégrer ces missions dans la convention avec l'ADIL sur le guichet de la rénovation;;non;coût+;1;impact++;2;Rénovation énergétique
2.0;3;307;Rénovation;Structurer les filières professionnelles et acteurs pour une montée en compétence vers des rénovations performantes;"Créer un ""consuel "" pour garantir la performance des travaux réalisés";coût ++/ impact ++;Orléans Métropole pilote;;besoin d'études préalables;n'a pas encore été chiffré;Pas d'action en 2022;;non;coût++;2;impact++;2;Rénovation énergétique
2.0;6;313;Rénovation;Intégrer l'usage des logements comme levier de la performance énergétique des logements;Créer une brigade de coachs sobriété (sur le modèle des coachs déchets);coût ++/ impact ++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;Prendre contact avec Unicité pour relancer une promotion de services civiques;;non;coût++;2;impact++;2;Rénovation énergétique
1.0;13;53;EnR;Assurer la montée en compétences du territoire et soutenir les projets;Développer par des installateurs agréés, fiables et faciles à identifier (par exemple grâce à la Métropole), la pose de panneaux photovoltaïques sur les toitures de particuliers;coût ++/impact +++;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;En lien avec l'ADIL-Espace France Rénov', apporter un conseil neutre et qualifié sur le choix de cette technologie. Travailler à la structuration locale de l'offre pour aller vers un référencement des installateurs.;;non;coût++;2;impact+++;3;Energies renouvelables
1.0;11;34;EnR;Impulser la dynamique du territoire en prenant appui sur la société à créer Orléans Métropole Energies;"Mettre en place un guichet unique qui accompagne sur les plans techniques et financiers les projets, notamment des communes avec un ""pool"" d’accompagnants, à toutes les étapes du projet";coût ++/ impact ++;Orléans Métropole pilote;;a fait l'objet d'une étude de préfiguration;a été chiffré mais n'est pas budgété;Promouvoir les outils développés (guide énergétique, référentiel Ville durable) et proposer des formations auprès des techiciens et élus des communes. Identifier plus finement les besoins;PCAET;non;coût++;2;impact++;2;Energies renouvelables
1.0;15;49;EnR;Développer les motorisations alternatives et les déplacements sobres en carbone;Renforcer la capacité du réseau électrique à répondre aux futures demandes en matière de mobilité électrique, Planifier le déploiement des bornes de recharge des véhicules électriques;coût ++/ impact ++;Orléans Métropole pilote;;besoin d'études préalables;fait l'objet d'une inscription au PPI;Lancement d'un Schéma Directeur des Infrastructures;autre;oui;coût++;2;impact++;2;Energies renouvelables
1.0;13;9;EnR;Assurer la montée en compétences du territoire et soutenir les projets;"Développer une information neutre pour aider à la décision des politiques, tiers de confiance, scientifique. Eviter la logique ""mon énergie, c'est la meilleure"".";coût+/ impact++;Orléans Métropole pilote;;est déjà en place,statut expérimental,mérite une progression;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Mobiliser l'ingénierie externe d'accompagnement à la mise en œuvre du PCAET;PCAET;non;coût+;1;impact++;2;Energies renouvelables
1.0;19;39;EnR;Développer les productions d'énergies renouvelables selon un mix énergétique compatible avec nos potentiels;Développer les réseaux de chaleur urbains existants;coût +++/impact ++;Orléans Métropole pilote;;est déjà en place,fonctionne;Fait l'objet de crédits déjà affectés en fonctionnement ou en investissement;Progression des abonnements au réseaux de chaleur urbains, mise en œuvre du schéma directeur des réseaux de chaleur prévoyant une progression du nombre de raccordement et des études complémentaires pour l'extension des réseaux;SDE;oui;coût+++;3;impact++;2;Energies renouvelables
1.0;14;57;EnR;Développer les productions d'énergies renouvelables selon un mix énergétique compatible avec nos potentiels;Produire de l’hydrogène vert sur place, consommé par des acteurs locaux;coût +++/ impact +;Orléans Métropole soutient;;besoin d'études préalables;n'a pas encore été chiffré;"Suivre les conclusions de l'étude sur la transition de la flotte de bus d'Orléans Métropole 
Etudier l'opportunité d'intégrer un écosystème territorial hydrogène (appel à projets ADEME)";SDE;non;coût+++;3;impact+;1;Energies renouvelables
1.0;13;905;EnR;Assurer la montée en compétences du territoire et soutenir les projets;Favoriser l'efficacité énergétique des bâtiments par leur orientation;coût ++/impact +++;Orléans Métropole soutient;;est déjà en place,statut expérimental,mérite une progression;n'a pas encore été chiffré;Mettre en œuvre les dispositions du PLUm;PLUm;non;coût++;2;impact+++;3;Energies renouvelables
