topic_id;topic_description;topic_sujet;topic_type;topic_url;topic_totem
233;Sur des sites qualifiés d’intérêt métropolitain, développer de manière privilégiée des plans d’actions ambitieux associant préservation, développement de la biodiversité et actions de pédagogie.;Conception et gestion des espaces  favorables à la biodiversité;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=233;non
910;Intensifier la gestion raisonnée des espaces urbains et des jardins;Conception et gestion des espaces  favorables à la biodiversité;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=910;non
204;Systématiser les composteurs dans les résidences et l'accompagner d'un guide pour cuisiner les produits bruts;Réduire et valoriser les biodéchets;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=204;non
118;Remettre le déversoir de Jargeau en état;Mieux connaitre et adapter son territoire;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=118;non
134;Voir ce qui ce fait ailleurs en terme d'aménagements d'espaces publics et s'appuyer sur les expertises (CEREMA notamment);(Ré)aménager l'espace public et les voiries en donnant la priorité aux mobilités durables;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=134;non
258;"Réaliser le plan Canopée : inventaire, protection, gestion et développement du patrimoine arboré
Connaissance, suivi et stratégie pour le patrimoine arboré privé et public ​basé sur la couverture des arbres  plutôt que sur un décompte des tiges.​";La nature comme solution;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=258;oui
10;S’appuyer sur une information accessible concernant les  éco-gestes pour diffuser une information plus générale sur la sobriété énergétique et les impacts de la production énergétique;Assurer la montée en compétences du territoire et soutenir les projets;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=10;non
920;Engager la mise en œuvre opérationnelle d’un schéma directeur de réduction des vulnérabilités face au risque d’inondation par ruissellement : engager des travaux à l’échelle des bassins versants, accompagner la population dans le déploiement de mesures individuelles, communiquer sur le risque ruissellement et accompagner l’aménagement du territoire.;Mieux connaitre et adapter son territoire;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=920;non
266;Clarifier l'organisation politique et technique, considérant que l'enjeu Biodiversité / Nature en ville est une compétence diluée;Exemplarité des collectivités;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=266;non
331;Créer un écosystème d'acteurs (professionnels, particuliers) pour générer de nouvelles ressources à partir des déchets en particulier sur les déchets du BTP;Animer un réseau d'acteurs pour une montée en compétences du territoire autour de la construction de la Ville Durable;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=331;non
294;Conditionner le financement pour les bailleurs au maintien du loyer;Impulser la rénovation énergétique des bâtiments par le déploiement de solutions de financement adaptées;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=294;non
324;Communiquer sur ce qui nous attend, ce qui va se passer, comment on va échanger avec les habitants. Procéder comme pour la démarche des Assises, mais à l'envers : partir de ce qui nous attend. Faire comprendre que le changement sera difficile;Animer un réseau d'acteurs pour une montée en compétences du territoire autour de la construction de la Ville Durable;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=324;non
907;Contribuer à une meilleure connaissance des bâtiments du tertiaire privé et animer les réseaux d’acteurs pour inciter au passage à l’acte;Organiser un dispositif d'accompagnement à la rénovation énergétique du bâti;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=907;non
232;Accompagner à la définition de plans de gestion, pour préserver et valoriser la biodiversité sur les différents espaces;Conception et gestion des espaces  favorables à la biodiversité;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=232;non
11;Clarifier les bénéfices pour les citoyens des EnR produites localement;Assurer la montée en compétences du territoire et soutenir les projets;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=11;non
905;Favoriser l'efficacité énergétique des bâtiments par leur orientation;Assurer la montée en compétences du territoire et soutenir les projets;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=905;non
354;Favoriser le développement des énergies renouvelables pour répondre aux besoins énergétiques des habitants et proposer un mix énergétique (ENR, biogaz, hydrogène, électrique);Préserver les ressources;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=354;non
98;Evenement récurrent (annuel?) sur les inondations;Sensibilisation de la population au risque inondation en portant une attention particulière au plus jeune;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=98;non
183;Construire la ville des proximités (du quart d'heure);Adapter la ville pour favoriser les mobilités durables;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=183;oui
156;Développer un bureau des temps (ayant pour objectif d'étaler les heures de pointe pour limiter la création de nouvelles infrastructures);Améliorer et développer les services de mobilité;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=156;non
109;Mettre en œuvre un système d'alerte;Montée en compétences des acteurs du territoire face au risque inondation;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=109;non
38;Faire en sorte que tout projet ou réhabilitation lourde du patrimoine d’Orléans Métropole fasse l’objet d’une étude géothermique approfondie;Assurer la montée en compétences du territoire et soutenir les projets;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=38;non
200;Multiplier les surfaces agricoles cultivées avec des techniques d'agroécologie et de permaculture;Développer une agriculture durable, en adéquation avec les attentes des consommateurs, qui réponde aux enjeux du territoire, de ses habitants et de la Loi EGAlim;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=200;non
125;Monter des Réserves Communales de Sécurité Civile;Organiser la gestion de crise et le post crise;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=125;non
151;Etendre le stationnement payant, notamment à proximité des commerces pour favoriser la rotation;Réorganiser la circulation et le stationnement motorisés;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=151;non
201;Développer une offre locale adaptée aux volumes et besoins des cantines;Développer une agriculture durable, en adéquation avec les attentes des consommateurs, qui réponde aux enjeux du territoire, de ses habitants et de la Loi EGAlim;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=201;oui
221;Valoriser les produits qu’on ne considère pas encore comme des aliments pour favoriser une assiette bas carbone (insectes, fleurs);Eduquer et sensibiliser les habitants de la Métropole aux enjeux de l'agriculture et de l'alimentation durables;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=221;non
936;Renouveler annuellement l’évènement des Assises de la Transition pour rendre compte des avancées de la feuille de route et encourager la mobilisation des habitants;;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=936;non
937;Créer une école de la transition pour permettre la montée en compétence des élus et des agents territoriaux des 22 communes et d’Orléans Métropole.;;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=937;non
207;Développer une installation jardinière et pédagogique autour de l'autonomie alimentaire sur un site partagé en lien avec les écoles.;Éduquer et/ou sensibiliser les populations à l’enjeu de l’agriculture et l’alimentation durable;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=207;non
236;Transformer les espaces gazonnées des infrastructures  en espace en gestion extensive;Conception et gestion des espaces  favorables à la biodiversité;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=236;non
205;Créer une plateforme de gestion et de valorisation des biodéchets des professionnels et des collectivités;Réduire et valoriser les biodéchets;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=205;oui
157;Envisager la gratuité des transports (pour certains publics, de façon évenementielle, voir pour tous);Améliorer et développer les services de mobilité;action;https://data.orleans-metropole.fr/pages/solutions-transition-ecologique/?refine.repertoire=157;non
67;Préserver le milieu naturel en réduisant les rejets non épurés;Eau et milieux aquatiques;idée forte;https://data.orleans-metropole.fr/pages/actions-transition-ecologique/?refine.action_numero=67&refine.theme_id=Eau;non
